ID,SMILE
ID0000001,CC(=O)NC(CC(=O)O)C(=O)O>>CC(=O)NC(CC(=O)O)C(=O)NC(CCC(=O)O)C(=O)NC(CCC(=O)O)C(=O)O
ID0000002,NCCc1ccc(O)cc1>>O=CCc1ccc(O)cc1
ID0000003,*C(NC(=O)CC1CCC(=O)C1C/C=C\CC(=O)O)C(=O)O>>*C(NC(=O)CC1CCC(=O)C1C/C=C\CC=O)C(=O)O
ID0000004,CC(=O)N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O>>CC(=O)N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@@H](C)[C@@H](O)C[C@@H]1O
ID0000005,OC[C@H]1O[C@@H]2OC[C@H]3O[C@H](O[C@@H]4[C@@H](O)[C@@H](OC[C@H]5O[C@H](O[C@H]([C@H]2O)[C@@H]1O)[C@H](O)[C@@H](O)[C@@H]5O)O[C@H](CO)[C@H]4O)[C@H](O)[C@@H](O)[C@@H]3O>>OC[C@H]1O[C@H](OC[C@H]2OC(O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
ID0000006,O=C(O)c1cccc(C(=O)CC[C@H]2O[C@@H](n3cnc4c(=O)[nH]cnc43)[C@H](O)[C@@H]2O)c1>>Nc1ncnc2c1ncn2[C@@H]1O[C@H](CCC(=O)c2cccc(C(=O)O)c2)[C@@H](O)[C@H]1O
ID0000007,CC(CO)(c1ccc(O)cc1)c1ccc(O)cc1>>CC(C)(c1ccc(O)cc1)c1ccc(O)cc1
ID0000008,*C(=O)N[C@@H](CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O[C@]3(C(=O)O)C[C@H](O[C@@H]4O[C@H](CO)[C@H](O)[C@H](O)[C@H]4NC(C)=O)[C@@H](NC(C)=O)C([C@H](O)[C@H](O)CO)O3)[C@H]2O)[C@H](O)[C@H]1O)[C@H](O)/C=C/CCCCCCCCCCCCC>>*C(=O)N[C@@H](CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O[C@]3(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CO)O3)[C@H]2O)[C@H](O)[C@H]1O)[C@H](O)/C=C/CCCCCCCCCCCCC
ID0000009,*OP(=O)(O)OC[C@H]1O[C@@H](*)C[C@@H]1OP(=O)(O)OC[C@H]1O[C@@H](O)C[C@@H]1OP(=O)(O)OC[C@H]1O[C@@H](*)C[C@@H]1OP(=O)(O)O*>>*OP(=O)(O)O[C@H]1C[C@H](*)O[C@@H]1COP(=O)(O)O
ID0000010,NP(=O)(OCCC=O)N(CCCl)CCCl>>O=P1(N(CCCl)CCCl)NC(O)CCO1
ID0000011,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12>>O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12
ID0000012,O=c1[nH]c(=O)[nH]c(=O)[nH]1>>CCNc1nc(=O)[nH]c(=O)[nH]1
ID0000013,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O>>Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
